BGF리테일(282330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-04-23,225500,230000,225000,226500,26581,3914805.0,17283906.0
2019-04-24,226000,227500,223500,224000,31953,3871595.0,17283906.0
2019-04-25,224000,228000,219000,222000,23429,3837027.0,17283906.0
2019-04-26,220000,226000,213000,215000,22834,3716040.0,17283906.0
2019-04-29,214500,217000,213000,216000,14955,3733324.0,17283906.0
2019-04-30,216000,219500,213500,218500,19848,3776533.0,17283906.0
2019-05-02,216500,221000,214500,216500,14346,3741966.0,17283906.0
2019-05-03,215500,215500,209000,211500,20872,3655546.0,17283906.0
2019-05-07,207500,215500,207500,213000,22922,3681472.0,17283906.0
2019-05-08,210000,215500,208000,215000,17281,3716040.0,17283906.0
2019-05-09,214000,215000,207000,207000,24985,3577769.0,17283906.0
2019-05-10,207500,211500,203000,204500,26595,3534559.0,17283906.0
2019-05-13,199500,204000,196500,201000,20950,3474065.0,17283906.0
2019-05-14,204500,207000,201000,205000,48990,3543201.0,17283906.0
2019-05-15,201500,204000,198500,203000,19646,3508633.0,17283906.0
2019-05-16,201000,205000,199500,202000,14918,3491349.0,17283906.0
2019-05-17,208000,208000,199000,200500,27032,3465423.0,17283906.0
2019-05-20,203000,203500,196500,197000,12839,3404929.0,17283906.0
2019-05-21,195000,203500,195000,200000,36571,3456781.0,17283906.0
2019-05-22,200500,204500,199500,203500,25527,3517275.0,17283906.0
2019-05-23,205000,205000,201500,202000,18865,3491349.0,17283906.0
2019-05-24,200000,201500,196500,198000,29429,3422213.0,17283906.0
2019-05-27,200000,203500,197500,200000,14916,3456781.0,17283906.0
2019-05-28,200000,203000,195500,200500,71457,3465423.0,17283906.0
2019-05-29,200500,201500,190000,190500,27869,3292584.0,17283906.0
2019-05-30,191500,193500,185000,186500,36207,3223448.0,17283906.0
2019-05-31,185500,188000,183000,186500,39256,3223448.0,17283906.0
2019-06-03,185500,187500,183500,185500,41948,3206165.0,17283906.0
2019-06-04,188000,189500,184000,188500,27658,3258016.0,17283906.0
2019-06-05,189000,192000,185000,190000,23586,3283942.0,17283906.0
2019-06-07,189500,191500,184500,187500,28710,3240732.0,17283906.0
2019-06-10,187500,196000,186000,195000,31441,3370362.0,17283906.0
2019-06-11,192500,195500,192000,194000,31967,3353078.0,17283906.0
2019-06-12,194000,196500,193000,195000,37171,3370362.0,17283906.0
2019-06-13,194500,199000,193000,193500,52138,3344436.0,17283906.0
2019-06-14,195500,203000,192500,202500,41135,3499991.0,17283906.0
2019-06-17,202000,204000,198500,200500,27142,3465423.0,17283906.0
2019-06-18,200500,203500,200000,203000,23626,3508633.0,17283906.0
2019-06-19,201500,203000,196000,199500,40902,3448139.0,17283906.0
2019-06-20,202000,202500,198500,200000,20713,3456781.0,17283906.0
2019-06-21,199000,206000,198000,203000,25531,3508633.0,17283906.0
2019-06-24,202000,206000,197500,198000,15898,3422213.0,17283906.0
2019-06-25,197500,201000,191000,192000,39953,3318510.0,17283906.0
2019-06-26,191500,197000,191500,194000,33788,3353078.0,17283906.0
2019-06-27,193000,208500,193000,206500,39225,3569127.0,17283906.0
2019-06-28,208500,215500,206000,211000,30532,3646904.0,17283906.0
2019-07-01,211000,212500,206500,206500,13242,3569127.0,17283906.0
2019-07-02,204000,208500,203500,206500,10014,3569127.0,17283906.0
2019-07-03,209500,211000,198000,200000,13891,3456781.0,17283906.0
2019-07-04,200000,200500,193500,195000,16041,3370362.0,17283906.0
2019-07-05,195000,200500,194500,198000,23514,3422213.0,17283906.0
2019-07-08,198000,199000,191500,192000,18951,3318510.0,17283906.0
2019-07-09,192500,197500,190500,193500,18286,3344436.0,17283906.0
2019-07-10,195000,195000,188500,188500,19190,3258016.0,17283906.0
